System,Teff,M_A,R_A,Period,aAU,M_b,R_b,Teq
G_9-40,3395,0.295,0.3026,5.746,0.0418,4.0042800000000005,1.8999085500000001,441.0
GJ_0357,3505,0.342,0.337,3.931,0.033,2.09748,1.16684649,531.0
GJ_0367,3522,0.455,0.458,0.322,0.00709,0.6356,0.69943536,1365.0
GJ_0436,3416,0.507,0.455,2.644,0.0308,25.392220000000002,4.1024574,669.0
GJ_0486,3291,0.333,0.339,1.467,0.01713,2.9873200000000004,1.34282622,706.0
GJ_0806,3600,0.413,0.4144,0.926,0.01406,1.9068,1.33049643,940.0
GJ_1132,3270,0.181,0.2105,1.629,0.0153,1.65256,1.12985712,529.0
GJ_1214,3250,0.178,0.215,1.58,0.01411,8.16746,2.74169694,596.0
GJ_1252,3458,0.381,0.391,0.518,0.00916,1.33476,1.18029717,997.0
GJ_3090,3556,0.519,0.516,2.853,0.0317,3.30512,2.1633177,692.0
GJ_3470,3725,0.476,0.474,3.337,0.03557,13.72896,3.8782794,604.0
GJ_3473,3347,0.36,0.364,1.198,0.01589,1.8750200000000001,1.2643639199999999,773.0
GJ_3929,3369,0.309,0.315,2.616,0.02569,1.20764,1.15003314,569.0
GJ_9827b,4305,0.606,0.602,1.209,0.0188,4.89412,1.5770922299999999,1114.0
GJ_9827c,4305,0.606,0.602,3.648,0.03925,0.82628,1.24082523,771.0
GJ_9827d,4305,0.606,0.602,6.201,0.05591,4.03606,2.02208556,646.0
GPX-1,7000,1.68,1.56,1.745,0.0338,6260.66,16.477083,2300.0
HAT-P-01,5975,1.151,1.174,4.465,0.05561,166.845,14.7845391,1322.0
HAT-P-02,6290,1.279,1.68,5.633,0.0674,2866.556,13.338591,1516.0
HAT-P-03,5190,0.925,0.85,2.9,0.03878,189.091,10.2113079,1170.0
HAT-P-04,6036,1.271,1.6,3.057,0.04465,216.104,14.986299299999999,1691.0
HAT-P-05,5960,1.163,1.137,2.788,0.04079,336.86800000000005,14.0335428,1517.0
HAT-P-06,6570,1.295,1.518,3.853,0.05244,337.8214,15.6364155,1704.0
HAT-P-07,6310,1.59,2.02,2.205,0.03805,594.2860000000001,17.1047814,2194.0
HAT-P-08,6200,1.192,1.475,3.076,0.0439,405.195,14.8069569,1713.0
HAT-P-09,6350,1.28,1.339,3.923,0.0529,247.2484,15.468281999999999,1540.0
HAT-P-11,4780,0.802,0.683,4.888,0.05259,27.743940000000002,4.3602621,838.0
HAT-P-12,4665,0.691,0.679,3.213,0.03767,63.87780000000001,10.300979100000001,955.0
HAT-P-13,5653,1.32,1.756,2.916,0.04383,287.9268,16.6676343,1725.0
HAT-P-14,6600,1.418,1.591,4.628,0.06108,721.7238,13.6636491,1624.0
HAT-P-15,5620,1.02,1.092,10.864,0.0964,618.4388,12.015940800000001,904.0
HAT-P-16,6140,1.216,1.158,2.776,0.0413,1332.5354,13.338591,1567.0
HAT-P-17,5350,0.886,0.86,10.339,0.0892,177.33240000000004,11.3770335,800.0
HAT-P-18,4870,0.77,0.717,5.508,0.0559,62.2888,10.6148283,841.0
HAT-P-19,4969,0.845,0.792,4.009,0.04649,90.2552,11.926269600000001,986.0
HAT-P-20,4595,0.748,0.68,2.876,0.03593,2294.516,11.489122499999999,964.0
HAT-P-21,5695,0.998,1.248,4.124,0.05037,1344.294,12.666056999999999,1367.0
HAT-P-22,5314,0.936,1.062,3.212,0.04171,696.6176,11.881434,1293.0
HAT-P-23,5885,1.104,1.089,1.213,0.02302,657.846,13.7196936,1951.0
HAT-P-24,6373,1.186,1.294,3.355,0.04641,216.42180000000002,13.932662700000002,1624.0
HAT-P-25,5500,1.012,0.919,3.653,0.0466,180.82819999999998,12.722101499999999,1182.0
HAT-P-26,5100,0.796,0.916,4.235,0.04748,18.33706,7.3082028,1080.0
HAT-P-27,5316,0.945,0.898,3.04,0.0403,209.74800000000002,11.6348382,1207.0
HAT-P-28,5680,1.025,1.103,3.257,0.0434,198.9428,13.585186799999999,1384.0
HAT-P-29,6140,1.206,1.272,5.723,0.06667,245.6594,12.3858345,1281.0
HAT-P-30,6338,1.242,1.215,2.811,0.0419,225.9558,15.8830113,1630.0
HAT-P-31,6065,1.218,1.36,5.005,0.055,689.9438,11.993523,1450.0
HAT-P-32,6269,1.182,1.225,2.15,0.03448,185.91299999999998,20.2544823,1801.0
HAT-P-33,6446,1.375,1.637,3.475,0.0499,242.1636,18.8982054,1782.0
HAT-P-34,6442,1.392,1.535,5.453,0.0677,1057.6384,13.417053300000001,1520.0
HAT-P-35,6178,1.236,1.435,3.647,0.0498,334.9612,14.9302548,1581.0
HAT-P-36,5620,1.03,1.041,1.327,0.02388,588.5656,14.6164056,1788.0
HAT-P-37,5500,0.929,0.877,2.797,0.0379,371.50820000000004,13.204084199999999,1271.0
HAT-P-38,5330,0.886,0.923,4.64,0.0523,84.85260000000001,9.2473425,1082.0
HAT-P-39,6340,1.404,1.625,3.544,0.0509,190.3622,17.6091819,1752.0
HAT-P-40,6080,1.512,2.206,4.457,0.0608,195.447,19.391397,1770.0
HAT-P-41,6390,1.418,1.683,2.694,0.0426,254.24,18.8869965,1941.0
HAT-P-42,5743,1.178,1.53,4.642,0.0575,331.7832,14.347392,1428.0
HAT-P-43,5645,1.048,1.103,3.333,0.0443,210.38360000000003,14.358600899999999,1361.0
HAT-P-44,5295,0.942,0.949,4.301,0.0507,111.8656,13.9214538,1108.0
HAT-P-45,6330,1.259,1.319,3.129,0.0452,283.4776,15.9838914,1652.0
HAT-P-46,6120,1.284,1.396,4.463,0.0577,156.6754,14.3922276,1458.0
HAT-P-47,6703,1.387,1.515,4.732,0.0615,65.46679999999999,14.7172857,1605.0
HAT-P-48,5946,1.099,1.223,4.409,0.0543,53.39040000000001,12.6772659,1361.0
HAT-P-49,6820,1.543,1.833,2.692,0.0438,549.794,15.8381757,2131.0
HAT-P-50,6280,1.273,1.698,3.122,0.0453,429.03000000000003,14.4370632,1862.0
HAT-P-51,5449,0.976,1.041,4.218,0.05069,98.20020000000001,14.4931077,1192.0
