parallax,phot_g_mean_mag,bp_rp
1.1806051960977666,15.055208,0.96562386
1.24006979968095,17.62686,1.8303509
1.1608148504094395,15.458443,1.3526049
1.2535184884120714,17.173012,1.7068768
1.1691726614826008,15.636947,1.1094742
1.155425456872371,15.54789,1.2963524
0.92217224849651,17.619106,1.989357
1.0858336353173075,14.606981,0.8952999
1.165668678415313,14.00437,0.80335426
1.097619130794319,16.163172,1.2856073
1.0358845365694436,17.682676,1.8968544
1.0541867290039364,17.374266,1.7415771
1.0417493649905147,16.410458,1.664403
1.151258927446204,13.826932,0.7705164
1.1535896792674465,11.829176,0.76370907
1.0808340202996838,17.02906,1.6184177
1.153007130081916,16.583542,1.4460363
1.1394810637498722,16.334093,1.3593464
1.2046753934273817,12.614841,1.115695
1.1501108560585707,13.1609125,0.7864113
1.1618858523789548,14.857274,0.9361534
1.1356339724971882,14.259432,0.8394699
1.1229013994488715,15.971808,1.4924746
1.1089513563185405,15.309071,1.0326033
1.1565504825451691,13.402018,0.7782326
1.2926730757580915,17.915897,2.080883
1.1380132062573187,13.184756,0.7799177
1.091614563765892,16.206846,1.3221111
1.1320137760582378,12.407134,0.89402103
1.1134655406612899,17.073603,1.6683064
1.1233936121456085,14.795678,0.9303322
1.1172560393619997,13.732728,0.7682867
1.3315402711234396,12.647075,0.7408905
1.1593371856224122,14.28375,0.8476944
1.1634882161349271,15.414886,1.2419901
1.1674430580671058,13.959219,0.78636074
1.1035419930331989,13.699832,0.7550669
1.032502975146324,16.645363,1.7771587
1.1123583683305776,15.92281,1.2582283
1.1505987118170358,12.556582,0.73915195
1.1938733065198046,13.429287,0.7343483
1.1780903783504708,10.234691,1.2470694
1.149104574995496,13.392233,0.7301712
1.1605325699597253,15.9672575,1.2357302
0.8450134717573847,15.46749,1.0947714
1.103726297596693,12.900631,0.77776337
1.1385067328330654,15.971505,1.5080137
1.1911351747846974,13.500302,0.80389977
1.1616816228051514,14.013014,0.79804325
1.219782119971965,16.82904,1.560358
1.2449842824121797,12.654641,1.1066475
1.1537012052776487,15.663899,1.1481543
1.1771229084364088,10.222875,1.2390194
1.1159981905639544,16.698328,1.5138655
0.9899585355993027,13.870309,0.85494804
1.1546786930826054,14.645685,0.89190197
1.1918370720809708,17.987682,1.8725338
1.2698999468478411,17.352844,1.7304745
1.1232532472267727,14.714022,0.9078007
1.1580863866435969,15.51013,1.1045036
1.1926736526990893,14.369842,0.8586073
1.3339925773081347,17.955595,2.0052052
1.3890296957334236,17.994484,1.9741592
1.0775233461972102,16.3103,1.3256311
1.146057830424664,13.851966,0.7825279
1.1048762648496964,12.686858,0.7643986
1.1845211386424317,10.205753,1.2274218
1.1466871609564244,13.064538,0.7538004
1.123585323789394,15.07166,0.9893389
1.1622667106549676,15.285419,1.0465717
1.1433256724345688,14.457218,1.0028038
0.9221455899009813,14.676374,0.935688
1.129779451339704,15.156463,0.9940376
1.1344629850534564,13.7203045,0.7516947
